date,close,volume,COMEX Cu $/MT,volume cu in MT
1/2/2008,3.05049991607666,279,6725.19,3164.0
1/3/2008,3.1730000972747803,250,6995.26,2835.0
1/4/2008,3.1414999961853027,205,6925.81,2325.0
1/7/2008,3.125,202,6889.44,2291.0
1/8/2008,3.2734999656677246,261,7216.82,2960.0
1/9/2008,3.2644999027252197,198,7196.98,2245.0
1/10/2008,3.260999917984009,180,7189.27,2041.0
1/11/2008,3.2834999561309814,316,7238.87,3583.0
1/14/2008,3.316999912261963,235,7312.72,2665.0
1/15/2008,3.2200000286102295,266,7098.88,3016.0
1/16/2008,3.1614999771118164,209,6969.91,2370.0
1/17/2008,3.1705000400543213,178,6989.75,2019.0
1/18/2008,3.2244999408721924,166,7108.8,1882.0
1/22/2008,3.188999891281128,212,7030.53,2404.0
1/23/2008,3.063499927520752,350,6753.85,3969.0
1/24/2008,3.1649999618530273,320,6977.62,3629.0
1/25/2008,3.1760001182556152,257,7001.87,2914.0
1/28/2008,3.181999921798706,203,7015.1,2302.0
1/29/2008,3.2890000343322754,337,7251.0,3822.0
1/30/2008,3.2160000801086426,300,7090.06,3402.0
1/31/2008,3.2894999980926514,215,7252.1,2438.0
2/1/2008,3.260499954223633,296,7188.16,3357.0
2/4/2008,3.2880001068115234,165,7248.79,1871.0
2/5/2008,3.2035000324249268,368,7062.5,4173.0
2/6/2008,3.307499885559082,252,7291.78,2858.0
2/7/2008,3.447999954223633,209,7601.53,2370.0
2/8/2008,3.5344998836517334,272,7792.23,3084.0
2/11/2008,3.553499937057495,298,7834.12,3379.0
2/12/2008,3.555000066757202,170,7837.42,1928.0
2/13/2008,3.5255000591278076,208,7772.39,2359.0
2/14/2008,3.48799991607666,173,7689.71,1962.0
2/15/2008,3.5209999084472656,173,7762.47,1962.0
2/19/2008,3.7249999046325684,202,8212.21,2291.0
2/20/2008,3.7054998874664307,234,8169.22,2654.0
2/21/2008,3.810499906539917,146,8400.7,1656.0
2/22/2008,3.7869999408721924,180,8348.9,2041.0
2/25/2008,3.741499900817871,204,8248.59,2313.0
2/26/2008,3.7809998989105225,179,8335.67,2030.0
2/27/2008,3.8399999141693115,5321,8465.74,60340.0
2/28/2008,3.8635001182556152,4873,8517.55,55260.0
2/29/2008,3.8519999980926514,1865,8492.2,21149.0
